Diehard test for Large m


#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                /tmp/tmp8j9xordn|  1.01e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.01085692|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.91661257|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.73729217|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.81219505|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.68079512|  PASSED  
        diehard_opso|   0|   2097152|     100|0.09784458|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.03184000|  PASSED  
         diehard_dna|   0|   2097152|     100|0.57484719|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.02806734|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.56176778|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.20530715|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.61479890|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.97819545|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.41891112|  PASSED  
        diehard_sums|   0|       100|     100|0.67321560|  PASSED  
        diehard_runs|   0|    100000|     100|0.98690315|  PASSED  
        diehard_runs|   0|    100000|     100|0.99929736|   WEAK   
       diehard_craps|   0|    200000|     100|0.70073401|  PASSED  
       diehard_craps|   0|    200000|     100|0.54391951|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99294611|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.30368386|  PASSED  
         sts_monobit|   1|    100000|     100|0.86324385|  PASSED  
            sts_runs|   2|    100000|     100|0.99960030|   WEAK   
          sts_serial|   1|    100000|     100|0.20682153|  PASSED  
          sts_serial|   2|    100000|     100|0.82565660|  PASSED  
          sts_serial|   3|    100000|     100|0.57505346|  PASSED  
          sts_serial|   3|    100000|     100|0.97723151|  PASSED  
          sts_serial|   4|    100000|     100|0.94528862|  PASSED  
          sts_serial|   4|    100000|     100|0.84403945|  PASSED  
          sts_serial|   5|    100000|     100|0.12076432|  PASSED  
          sts_serial|   5|    100000|     100|0.02627455|  PASSED  
          sts_serial|   6|    100000|     100|0.11698574|  PASSED  
          sts_serial|   6|    100000|     100|0.07814763|  PASSED  
          sts_serial|   7|    100000|     100|0.89426152|  PASSED  
          sts_serial|   7|    100000|     100|0.00941735|  PASSED  
          sts_serial|   8|    100000|     100|0.73057296|  PASSED  
